job_id,country,employment_type,required_experience,required_education,industry,function,mentions_salary,telecommuting,has_company_logo,has_questions,fraudulent,from_US,industry_SWOE,function_SWOE
35,GB,Full-time,Unspecified,Unspecified,Marketing and Advertising,Unspecified,0,0,1,1,0,0,-2.856609018,-2.898919407
36,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
37,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,0,0,1,-9.740450581,-2.898919407
38,US,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0,0,0,0,0,1,-0.495323056,-2.391780105
39,IN,Full-time,Mid-Senior level,Unspecified,Computer Software,Design,0,0,1,1,0,0,-5.60491141,-4.708274573
40,US,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,0,1,0,0,1,-3.056588271,-1.458699604
41,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
42,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
43,US,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,1,0,0,0,0,1,-5.60491141,-2.391780105
44,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
45,US,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,0,1,0,0,1,-5.60491141,-2.853301252
46,US,Full-time,Unspecified,Unspecified,Building Materials,Sales,0,0,1,0,0,1,-4.308790063,-3.549243538
47,EG,Full-time,Entry level,Bachelor's Degree,Banking,Unspecified,0,0,0,0,0,0,-3.291500398,-2.898919407
48,US,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,0,1,0,0,1,-3.056588271,-1.458699604
49,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
50,US,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,0,1,0,0,1,-3.815002963,-2.853301252
51,US,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0,0,1,0,0,1,-7.317348974,-7.789313116
52,US,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,0,1,0,0,1,-9.740450581,-1.458699604
53,US,Full-time,Unspecified,Unspecified,Information Technology and Services,Unspecified,0,0,1,0,0,1,-3.972869919,-2.898919407
54,US,Full-time,Associate,Bachelor's Degree,Financial Services,Information Technology,0,0,0,0,0,1,-3.056588271,-3.981639589
55,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
56,PL,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
57,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
58,CA,Unspecified,Unspecified,Bachelor's Degree,Hospital & Health Care,Unspecified,0,0,1,1,0,0,-2.169675367,-2.898919407
59,US,Full-time,Associate,Bachelor's Degree,Computer Software,Marketing,0,0,1,0,0,1,-5.60491141,-4.403047312
60,US,Full-time,Not Applicable,Unspecified,Information Technology and Services,Design,0,0,1,1,0,1,-3.972869919,-4.708274573
61,US,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,0,1,1,0,1,-9.740450581,-5.736378521
62,US,Full-time,Entry level,High School or equivalent,Food Production,Supply Chain,0,0,1,1,0,1,-3.735790633,-6.637161261
63,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
64,US,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,0,1,0,0,1,-2.169675367,-2.853301252
65,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
66,NZ,Full-time,Unspecified,Unspecified,Computer Software,Engineering,1,0,1,1,0,0,-5.60491141,-2.391780105
67,GR,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
68,US,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
69,US,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
70,US,Contract,Unspecified,Unspecified,Unspecified,Information Technology,0,0,0,1,0,1,-2.823138472,-3.981639589
71,GB,Unspecified,Unspecified,Unspecified,Unspecified,Marketing,0,0,1,0,0,0,-2.823138472,-4.403047312
72,US,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,0,1,1,0,1,-3.291500398,-2.853301252
73,US,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
74,AE,Full-time,Unspecified,Unspecified,"Health, Wellness and Fitness",Unspecified,0,0,0,0,0,0,-2.015685175,-2.898919407
75,US,Part-time,Entry level,High School or equivalent,Insurance,Administrative,0,0,1,0,0,1,-2.970474687,-1.458699604
76,DE,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0,0,1,1,0,0,-4.209827054,-2.391780105
77,US,Full-time,Associate,High School or equivalent,Hospital & Health Care,Health Care Provider,1,0,1,1,0,1,-2.169675367,-5.775604967
78,US,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,1,0,0,0,0,1,-5.60491141,-3.981639589
79,US,Full-time,Mid-Senior level,Unspecified,Banking,Business Development,0,1,0,0,0,1,-3.291500398,-2.806386024
80,NZ,Full-time,Unspecified,Bachelor's Degree,Information Technology and Services,Product Management,1,0,1,1,0,0,-3.972869919,-7.772064107
81,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
82,US,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
83,GB,Temporary,Associate,Unspecified,Cosmetics,Sales,0,0,1,1,0,0,-4.126344231,-3.549243538
84,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
85,US,Part-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,0,1,0,0,1,-3.815002963,-2.853301252
86,US,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0,0,1,1,0,1,-3.056588271,-1.7465462
87,US,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0,0,1,0,0,1,-2.169675367,-1.458699604
88,US,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,0,1,0,0,1,-2.970474687,-2.853301252
89,GR,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
90,CA,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,0,-9.740450581,-2.898919407
91,US,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,0,1,0,0,1,-2.856609018,-4.403047312
92,GB,Full-time,Unspecified,Unspecified,Staffing and Recruiting,Consulting,1,0,1,0,0,0,-2.701610506,-3.550086188
93,US,Full-time,Entry level,High School or equivalent,Consumer Services,Human Resources,1,1,0,0,0,1,-2.633916062,-3.080366137
94,US,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,0,1,0,0,1,-3.056588271,-1.458699604
95,GB,Full-time,Not Applicable,High School or equivalent,Unspecified,Administrative,0,0,1,1,0,0,-2.823138472,-1.458699604
96,US,Full-time,Director,Master's Degree,Internet,Marketing,0,0,1,0,0,1,-9.996358046,-4.403047312
97,GB,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,0,1,0,0,0,-3.056588271,-3.981639589
98,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
99,US,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1,0,1,1,1,1,-0.495323056,-2.216166691
100,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
101,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
102,CA,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,0,-9.740450581,-2.898919407
103,GB,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,1,1,1,0,0,0,-9.996358046,-4.403047312
104,US,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
105,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
106,US,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,1,1,1,0,1,-9.996358046,-3.981639589
107,GB,Full-time,Internship,High School or equivalent,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
108,GB,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,1,0,1,0,0,0,-6.427134843,-3.981639589
109,US,Full-time,Mid-Senior level,Unspecified,Computer Software,Project Management,0,0,0,1,0,1,-5.60491141,-2.851360103
110,US,Full-time,Director,Bachelor's Degree,Management Consulting,Management,0,0,1,0,0,1,-3.028126795,-3.943048543
111,US,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,0,1,0,0,1,-2.169675367,-2.853301252
112,US,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,0,1,0,0,1,-2.169675367,-2.853301252
113,US,Part-time,Entry level,High School or equivalent,Insurance,Customer Service,0,0,1,0,0,1,-2.970474687,-2.853301252
114,GB,Full-time,Mid-Senior level,Unspecified,"Leisure, Travel & Tourism",Management,1,0,1,0,0,0,-0.977660261,-3.943048543
115,US,Unspecified,Unspecified,Unspecified,Unspecified,Sales,0,1,1,0,0,1,-2.823138472,-3.549243538
116,GB,Unspecified,Not Applicable,High School or equivalent,Human Resources,Human Resources,0,0,1,1,0,0,-2.834459249,-3.080366137
117,US,Full-time,Entry level,Bachelor's Degree,Internet,Administrative,0,0,1,1,0,1,-9.996358046,-1.458699604
118,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,1,-2.823138472,-2.898919407
119,US,Full-time,Director,Unspecified,Computer Software,Unspecified,0,0,1,0,0,1,-5.60491141,-2.898919407
120,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
121,US,Full-time,Associate,High School or equivalent,Consumer Services,Administrative,0,0,1,0,0,1,-2.633916062,-1.458699604
122,DE,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
123,CA,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,0,-9.740450581,-2.898919407
124,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
125,US,Part-time,Entry level,High School or equivalent,Education Management,Customer Service,0,0,1,0,0,1,-9.740450581,-2.853301252
126,US,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,0,1,1,0,1,-2.856609018,-4.403047312
127,GR,Full-time,Mid-Senior level,Unspecified,Internet,Unspecified,0,0,1,0,0,0,-9.996358046,-2.898919407
128,US,Full-time,Associate,Unspecified,Pharmaceuticals,Sales,0,0,1,1,0,1,-6.787626341,-3.549243538
129,US,Temporary,Internship,Some College Coursework Completed,Farming,Unspecified,0,0,1,1,0,1,-6.244489818,-2.898919407
130,US,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,0,1,0,0,1,-2.498791322,-2.853301252
131,US,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,0,1,0,0,1,-2.970474687,-2.853301252
132,GB,Temporary,Associate,Unspecified,Cosmetics,Sales,0,0,1,1,0,0,-4.126344231,-3.549243538
133,GB,Full-time,Mid-Senior level,Unspecified,Computer Software,Design,1,0,1,0,0,0,-5.60491141,-4.708274573
134,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
135,GB,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,1,0,1,0,0,0,-3.056588271,-3.549243538
136,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
137,US,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,0,1,0,0,1,-2.498791322,-2.853301252
138,DE,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
139,US,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
140,US,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,0,1,0,0,1,-3.815002963,-2.853301252
141,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
142,US,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0,0,1,0,0,1,-7.612026365,-2.853301252
143,IL,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,0,-2.823138472,-2.898919407
144,US,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,0,1,1,0,1,-9.740450581,-5.736378521
145,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,1,0,-2.823138472,-2.898919407
146,GR,Full-time,Associate,Unspecified,Computer Software,Other,1,0,1,0,0,0,-5.60491141,-2.216166691
147,US,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,0,1,0,0,1,-2.498791322,-2.853301252
148,US,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
149,GR,Full-time,Associate,Bachelor's Degree,Computer Software,Unspecified,0,0,1,1,0,0,-5.60491141,-2.898919407
150,US,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,0,1,0,0,1,-5.60491141,-3.549243538
151,US,Full-time,Associate,Unspecified,Marketing and Advertising,Information Technology,0,0,1,0,0,1,-2.856609018,-3.981639589
152,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
153,US,Full-time,Mid-Senior level,Bachelor's Degree,Luxury Goods & Jewelry,Sales,1,0,1,0,0,1,-4.627257123,-3.549243538
154,GB,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,1,0,1,1,0,0,-9.996358046,-7.789313116
155,US,Contract,Unspecified,High School or equivalent,Machinery,Production,1,0,0,0,0,1,-5.508415548,-7.789313116
156,US,Full-time,Associate,High School or equivalent,Real Estate,Customer Service,1,0,0,0,0,1,-1.843491945,-2.853301252
157,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
158,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
159,US,Contract,Unspecified,Unspecified,Unspecified,Customer Service,0,1,0,1,0,1,-2.823138472,-2.853301252
160,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,1,0,1,1,0,1,-2.823138472,-2.898919407
161,US,Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,1,0,0,0,0,1,-2.12660484,-3.572720143
162,US,Full-time,Director,Bachelor's Degree,Unspecified,Unspecified,0,0,0,1,0,1,-2.823138472,-2.898919407
163,AU,Full-time,Mid-Senior level,Unspecified,Public Relations and Communications,Public Relations,0,0,1,0,0,0,-7.104269424,-4.282798225
164,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
165,EG,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0,0,1,0,0,0,-2.498791322,-4.403047312
166,GB,Full-time,Internship,Bachelor's Degree,Computer Software,Marketing,1,0,1,1,0,0,-5.60491141,-4.403047312
167,GR,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Sales,0,0,0,0,0,0,-4.095068015,-3.549243538
168,US,Full-time,Entry level,High School or equivalent,Financial Services,Sales,1,0,0,0,0,1,-3.056588271,-3.549243538
169,GR,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Administrative,0,0,1,0,0,0,-2.856609018,-1.458699604
170,US,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
171,DE,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
172,GB,Full-time,Associate,Vocational,Marketing and Advertising,Information Technology,1,0,1,0,0,0,-2.856609018,-3.981639589
173,AU,Full-time,Associate,Unspecified,Medical Practice,Unspecified,0,0,1,0,0,0,-4.046239381,-2.898919407
174,US,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,0,0,1,1,1,1,-2.849472949,-2.216166691
175,US,Full-time,Associate,Unspecified,Cosmetics,Sales,0,0,1,1,0,1,-4.126344231,-3.549243538
176,US,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0,0,1,0,0,1,-3.056588271,-1.458699604
177,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
178,US,Other,Entry level,High School or equivalent,Financial Services,Unspecified,1,0,1,1,0,1,-3.056588271,-2.898919407
179,US,Full-time,Director,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0,0,1,1,0,1,-2.856609018,-3.780290306
180,GB,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Human Resources,1,0,1,1,0,0,-3.972869919,-3.080366137
181,PK,Unspecified,Unspecified,Unspecified,Unspecified,Sales,0,0,0,0,1,0,-2.823138472,-3.549243538
182,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
183,US,Full-time,Unspecified,Unspecified,Oil & Energy,Engineering,0,0,1,1,0,1,-0.495323056,-2.391780105
184,US,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,0,0,0,0,1,-2.169675367,-5.775604967
185,GB,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,0,-2.823138472,-2.898919407
186,GB,Unspecified,Unspecified,Unspecified,Cosmetics,Unspecified,0,0,1,0,0,0,-4.126344231,-2.898919407
187,US,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0,0,1,0,0,1,-7.612026365,-1.458699604
188,US,Part-time,Entry level,Some College Coursework Completed,Medical Practice,Other,0,0,1,1,0,1,-4.046239381,-2.216166691
189,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
190,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
191,US,Full-time,Entry level,High School or equivalent,Financial Services,Sales,1,0,0,0,0,1,-3.056588271,-3.549243538
192,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
193,US,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Information Technology,0,0,0,0,0,1,-2.169675367,-3.981639589
194,GR,Full-time,Entry level,Unspecified,Hospitality,Unspecified,0,0,0,1,0,0,-1.674331188,-2.898919407
195,GB,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,0,-2.823138472,-2.898919407
196,GR,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,0,1,1,0,0,-9.996358046,-3.981639589
197,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
198,IN,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1,0,1,1,0,0,-3.972869919,-3.981639589
199,GB,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,1,0,1,1,0,0,-3.056588271,-2.806386024
200,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
201,NZ,Full-time,Mid-Senior level,Unspecified,Marketing and Advertising,Advertising,1,0,1,1,0,0,-2.856609018,-2.834705855
202,BE,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,0,1,0,0,0,-5.60491141,-3.981639589
203,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
204,US,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,1,0,0,0,0,1,-5.60491141,-3.981639589
205,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,0,-2.823138472,-2.898919407
206,US,Full-time,Entry level,Bachelor's Degree,Consumer Electronics,Customer Service,0,0,1,0,0,1,-7.16991887,-2.853301252
207,GB,Full-time,Not Applicable,Unspecified,Consumer Services,Customer Service,0,0,1,0,0,0,-2.633916062,-2.853301252
208,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
209,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
210,US,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,0,1,0,0,1,-2.169675367,-2.853301252
211,US,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
212,BR,Full-time,Entry level,Bachelor's Degree,Telecommunications,Information Technology,0,0,1,0,0,0,-2.498791322,-3.981639589
213,US,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,0,1,0,0,1,-2.633916062,-2.853301252
214,CA,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,0,1,0,0,0,-9.740450581,-1.458699604
215,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
216,US,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1,0,1,1,1,1,-0.495323056,-2.216166691
217,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
218,GB,Full-time,Director,Unspecified,Computer Software,Management,0,0,1,0,0,0,-5.60491141,-3.943048543
219,AU,Full-time,Entry level,Unspecified,Information Technology and Services,Production,0,0,1,0,0,0,-3.972869919,-7.789313116
220,SA,Full-time,Director,Master's Degree,Telecommunications,Sales,0,0,1,0,0,0,-2.498791322,-3.549243538
221,US,Full-time,Mid-Senior level,High School or equivalent,Music,Management,0,0,1,0,0,1,-5.421035692,-3.943048543
222,GB,Full-time,Unspecified,High School or equivalent,Unspecified,Administrative,0,0,1,1,0,0,-2.823138472,-1.458699604
223,DK,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
224,US,Contract,Unspecified,Bachelor's Degree,Education Management,Unspecified,0,0,1,1,0,1,-9.740450581,-2.898919407
225,US,Full-time,Entry level,High School or equivalent,Education Management,Customer Service,0,0,1,0,0,1,-9.740450581,-2.853301252
226,GB,Full-time,Entry level,Bachelor's Degree,Financial Services,Finance,0,0,1,0,0,0,-3.056588271,-2.351014509
