employment_type,required_experience,required_education,company_profile_length,description_length,requirements_length,benefits_length,industry_SWOE,function_SWOE,from_US,money_in_title,mentions_salary,telecommuting,has_company_logo,has_questions,has_email,has_phone,has_url,has_fraud_bigram,has_legit_bigram,fraudulent
Full-time,Associate,Bachelor's Degree,66,146,66,43,-9.996358046,-3.549243538,0,0,0,0,1,0,0,0,1,0,1,0
Full-time,Executive,Bachelor's Degree,140,480,94,45,-3.815002963,-3.549243538,0,0,1,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Unspecified,71,57,59,0,-9.996358046,-2.391780105,0,0,0,0,1,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,136,65,11,2,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,69,248,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Unspecified,Unspecified,34,181,174,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,211,194,113,0,-2.823138472,-4.403047312,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Mid-Senior level,Master's Degree,220,295,117,111,-7.16991887,-2.391780105,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,402,166,136,33,-2.498791322,-3.549243538,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Executive,Unspecified,145,234,116,39,-9.996358046,-3.549243538,1,0,1,0,1,0,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,0,56,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,333,711,13,0,-2.823138472,-2.898919407,1,0,0,0,1,1,1,0,0,0,1,0
Full-time,Associate,Unspecified,95,78,79,64,-4.567343235,-4.403047312,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Associate,Master's Degree,91,70,14,25,-2.169675367,-5.775604967,0,0,0,0,1,0,1,0,1,1,0,0
Full-time,Unspecified,Unspecified,34,223,0,0,-3.028126795,-2.898919407,1,0,0,0,0,0,0,0,1,1,1,0
Full-time,Entry level,High School or equivalent,88,156,99,0,-2.633916062,-1.458699604,0,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,278,184,0,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Associate,Unspecified,0,48,81,42,-5.60491141,-2.391780105,1,0,1,0,1,0,0,0,0,0,1,0
Full-time,Entry level,Unspecified,54,187,171,49,-3.934917469,-2.216166691,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Unspecified,Bachelor's Degree,143,240,72,0,-0.495323056,-2.391780105,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Unspecified,Unspecified,103,31,75,0,-2.856609018,-2.898919407,0,0,0,0,1,1,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,32,19,3,-9.740450581,-2.898919407,1,0,0,0,1,0,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,312,0,0,-0.495323056,-2.391780105,1,0,0,0,0,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Unspecified,36,252,144,69,-5.60491141,-4.708274573,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,243,104,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,Bachelor's Degree,0,52,0,0,-5.60491141,-2.391780105,1,0,1,0,0,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,91,85,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,345,118,0,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,116,184,134,30,-4.308790063,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,Bachelor's Degree,902,23,23,0,-3.291500398,-2.898919407,0,0,0,0,0,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,177,91,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,168,89,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,27,102,54,0,-7.317348974,-7.789313116,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,130,189,0,-9.740450581,-1.458699604,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,78,54,80,0,-3.972869919,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Associate,Bachelor's Degree,0,182,78,13,-3.056588271,-3.981639589,1,0,0,0,0,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Unspecified,Unspecified,Unspecified,25,57,126,21,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Unspecified,Unspecified,Bachelor's Degree,321,128,297,175,-2.169675367,-2.898919407,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Associate,Bachelor's Degree,70,138,32,58,-5.60491141,-4.403047312,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Not Applicable,Unspecified,116,94,167,43,-3.972869919,-4.708274573,1,0,0,0,1,1,0,0,0,0,1,0
Contract,Entry level,Bachelor's Degree,9,39,20,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,157,225,160,58,-3.735790633,-6.637161261,1,0,0,0,1,1,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,177,148,0,-2.169675367,-2.853301252,1,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,0,219,99,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,193,38,174,276,-5.60491141,-2.391780105,0,0,1,0,1,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,91,39,4,6,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,0,0
Full-time,Unspecified,Unspecified,34,100,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Full-time,Unspecified,Unspecified,34,362,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Contract,Unspecified,Unspecified,0,35,197,0,-2.823138472,-3.981639589,1,0,0,0,0,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,33,79,83,14,-2.823138472,-4.403047312,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Associate,High School or equivalent,100,88,74,64,-3.291500398,-2.853301252,1,0,0,0,1,1,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,156,91,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,0,43,14,7,-2.015685175,-2.898919407,0,0,0,0,0,0,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,142,88,0,-2.970474687,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Master's Degree,108,285,121,78,-4.209827054,-2.391780105,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Associate,High School or equivalent,214,225,18,2,-2.169675367,-5.775604967,1,0,1,0,1,1,0,1,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,0,254,63,44,-5.60491141,-3.981639589,1,0,1,0,0,0,0,0,1,0,1,0
Full-time,Mid-Senior level,Unspecified,67,1159,0,0,-3.291500398,-2.806386024,1,0,0,1,0,0,0,0,0,1,1,0
Full-time,Unspecified,Bachelor's Degree,86,176,49,86,-3.972869919,-7.772064107,0,0,1,0,1,1,0,0,1,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,260,86,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Temporary,Associate,Unspecified,136,137,5,3,-4.126344231,-3.549243538,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,166,132,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,152,64,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Associate,Bachelor's Degree,160,249,147,71,-3.056588271,-1.7465462,1,0,0,0,1,1,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,88,195,114,0,-2.169675367,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,207,97,0,-2.970474687,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Unspecified,Unspecified,Unspecified,321,377,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,1,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,0,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,Bachelor's Degree,68,213,79,41,-2.856609018,-4.403047312,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,210,70,39,44,-2.701610506,-3.550086188,0,0,1,0,1,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,0,278,0,0,-2.633916062,-3.080366137,1,0,1,1,0,0,0,0,1,1,0,0
Full-time,Entry level,High School or equivalent,88,123,93,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Not Applicable,High School or equivalent,136,107,16,2,-2.823138472,-1.458699604,0,0,0,0,1,1,1,0,0,0,1,0
Full-time,Director,Master's Degree,74,177,71,2,-9.996358046,-4.403047312,1,0,0,0,1,0,1,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,142,74,96,82,-3.056588271,-3.981639589,0,0,0,0,1,0,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,88,128,96,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,High School or equivalent,131,298,159,80,-0.495323056,-2.216166691,1,0,1,0,1,1,1,1,0,1,1,1
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,0,88,89,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,0,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,Bachelor's Degree,6,68,15,19,-9.996358046,-4.403047312,0,0,1,1,1,0,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,157,91,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Unspecified,Unspecified,Unspecified,0,67,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,144,664,0,0,-9.996358046,-3.981639589,1,0,0,1,1,1,0,0,0,0,1,0
Full-time,Internship,High School or equivalent,136,102,6,2,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Not Applicable,Unspecified,102,268,180,0,-6.427134843,-3.981639589,0,0,1,0,1,0,0,0,1,0,0,0
Full-time,Mid-Senior level,Unspecified,0,345,0,0,-5.60491141,-2.851360103,1,0,0,0,0,1,0,0,0,0,1,0
Full-time,Director,Bachelor's Degree,88,445,51,0,-3.028126795,-3.943048543,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,173,114,0,-2.169675367,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Part-time,Entry level,High School or equivalent,88,172,91,0,-2.169675367,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Part-time,Entry level,High School or equivalent,88,165,91,0,-2.970474687,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Unspecified,91,156,77,31,-0.977660261,-3.943048543,0,0,1,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,355,94,99,50,-2.823138472,-3.549243538,1,0,0,1,1,0,0,0,1,0,1,0
Unspecified,Not Applicable,High School or equivalent,136,96,12,2,-2.834459249,-3.080366137,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,Bachelor's Degree,163,285,109,20,-9.996358046,-1.458699604,1,0,0,0,1,1,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,84,53,11,7,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Director,Unspecified,220,105,79,28,-5.60491141,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,High School or equivalent,88,293,108,0,-2.633916062,-1.458699604,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,20,116,43,34,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,0,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Part-time,Entry level,High School or equivalent,88,154,92,0,-9.740450581,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Associate,Bachelor's Degree,119,85,50,19,-2.856609018,-4.403047312,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Unspecified,259,108,49,119,-9.996358046,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Associate,Unspecified,201,124,89,60,-6.787626341,-3.549243538,1,0,0,0,1,1,0,0,0,0,0,0
Temporary,Internship,Some College Coursework Completed,114,151,194,6,-6.244489818,-2.898919407,1,1,0,0,1,1,0,0,1,1,1,0
Full-time,Entry level,High School or equivalent,88,278,184,0,-2.498791322,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,High School or equivalent,88,142,67,0,-2.970474687,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Temporary,Associate,Unspecified,136,137,5,3,-4.126344231,-3.549243538,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Unspecified,30,72,47,27,-5.60491141,-4.708274573,0,0,1,0,1,0,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,113,214,136,25,-3.056588271,-3.549243538,0,0,1,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,130,97,0,-2.498791322,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Unspecified,Unspecified,Unspecified,69,48,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,260,86,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,157,91,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,163,111,0,-7.612026365,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Unspecified,Unspecified,Unspecified,50,126,32,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Contract,Entry level,Bachelor's Degree,9,57,15,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,0,59,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,0,1
Full-time,Associate,Unspecified,0,175,6,6,-5.60491141,-2.216166691,0,0,1,0,1,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,130,97,0,-2.498791322,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,34,132,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Full-time,Associate,Bachelor's Degree,125,116,194,36,-5.60491141,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,90,355,181,107,-5.60491141,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Associate,Unspecified,82,184,109,9,-2.856609018,-3.981639589,1,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,100,520,281,10,-4.627257123,-3.549243538,1,0,1,0,1,0,0,0,1,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,81,237,110,68,-9.996358046,-7.789313116,0,0,1,0,1,1,0,0,0,0,1,0
Contract,Unspecified,High School or equivalent,0,164,76,0,-5.508415548,-7.789313116,1,1,1,0,0,0,0,0,0,1,0,0
Full-time,Associate,High School or equivalent,0,371,131,23,-1.843491945,-2.853301252,1,0,1,0,0,0,1,0,1,1,1,0
Unspecified,Unspecified,Unspecified,63,9,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Unspecified,0,63,174,100,-2.823138472,-2.853301252,1,0,0,1,0,1,0,0,1,1,1,0
Unspecified,Unspecified,Unspecified,36,116,11,0,-2.823138472,-2.898919407,1,0,1,0,1,1,0,0,0,0,0,0
Full-time,Associate,High School or equivalent,77,278,43,25,-2.12660484,-3.572720143,1,0,1,0,0,0,0,0,0,0,1,0
Full-time,Director,Bachelor's Degree,0,212,68,0,-2.823138472,-2.898919407,1,0,0,0,0,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Unspecified,189,181,37,0,-7.104269424,-4.282798225,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,173,139,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,Bachelor's Degree,147,20,44,7,-2.498791322,-4.403047312,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Internship,Bachelor's Degree,58,412,155,7,-5.60491141,-4.403047312,0,0,1,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Master's Degree,0,79,85,0,-4.095068015,-3.549243538,0,0,0,0,0,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,0,323,0,11,-3.056588271,-3.549243538,1,0,1,0,0,0,0,0,0,0,0,0
Full-time,Entry level,Bachelor's Degree,59,176,68,22,-2.856609018,-1.458699604,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,121,114,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,20,101,32,34,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Associate,Vocational,398,218,204,0,-2.856609018,-3.981639589,0,0,1,0,1,0,0,0,0,0,0,0
Full-time,Associate,Unspecified,333,19,990,6,-4.046239381,-2.898919407,0,0,0,0,1,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Certification,80,640,164,45,-2.849472949,-2.216166691,1,0,0,0,1,1,1,1,1,1,1,1
Full-time,Associate,Unspecified,136,151,5,4,-4.126344231,-3.549243538,1,0,0,0,1,1,0,0,1,0,1,0
Part-time,Entry level,High School or equivalent,88,153,91,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Other,Entry level,High School or equivalent,60,178,74,11,-3.056588271,-2.898919407,1,0,1,0,1,1,0,0,0,1,1,0
Full-time,Director,Bachelor's Degree,88,151,148,19,-2.856609018,-3.780290306,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,12,11,9,19,-3.972869919,-3.080366137,0,0,1,0,1,1,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,0,2,2,2,-2.823138472,-3.549243538,0,0,0,0,0,0,0,0,0,0,0,1
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Unspecified,Unspecified,143,186,96,0,-0.495323056,-2.391780105,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,0,88,37,11,-2.169675367,-5.775604967,1,0,0,0,0,0,0,0,0,1,0,0
Unspecified,Unspecified,Unspecified,56,136,130,88,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,136,137,5,0,-4.126344231,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,244,104,0,-7.612026365,-1.458699604,1,0,0,0,1,0,0,0,0,1,1,0
Part-time,Entry level,Some College Coursework Completed,18,59,114,0,-4.046239381,-2.216166691,1,0,0,0,1,1,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,0,323,0,11,-3.056588271,-3.549243538,1,0,1,0,0,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,0,90,111,91,-2.823138472,-2.898919407,1,0,0,0,0,0,1,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,425,233,4,-2.169675367,-3.981639589,1,0,0,0,0,0,0,0,1,1,1,0
Full-time,Entry level,Unspecified,218,168,123,0,-1.674331188,-2.898919407,0,0,0,0,0,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,220,85,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,145,283,43,66,-9.996358046,-3.981639589,0,0,0,0,1,1,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,201,202,6,14,-3.972869919,-3.981639589,0,0,1,0,1,1,0,0,1,0,0,0
Full-time,Entry level,Bachelor's Degree,113,221,96,37,-3.056588271,-2.806386024,0,0,1,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Unspecified,273,217,82,32,-2.856609018,-2.834705855,0,0,1,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,87,146,91,123,-5.60491141,-3.981639589,0,0,0,0,1,0,1,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,59,0,0,-5.60491141,-3.981639589,1,0,1,0,0,0,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,12,209,47,0,-2.823138472,-2.898919407,0,0,0,0,1,0,1,0,0,0,0,0
Full-time,Entry level,Bachelor's Degree,106,205,90,68,-7.16991887,-2.853301252,1,0,0,0,1,0,0,0,1,0,1,0
Full-time,Not Applicable,Unspecified,94,341,41,0,-2.633916062,-2.853301252,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,164,133,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,157,91,0,-2.169675367,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Part-time,Entry level,High School or equivalent,88,156,90,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,Bachelor's Degree,402,157,67,31,-2.498791322,-3.981639589,0,0,0,0,1,0,0,0,0,0,1,0
