fraudulent,employment_type,required_experience,required_education,company_profile_length,description_length,requirements_length,benefits_length,industry_SWOE,function_SWOE,from_US,money_in_title,mentions_salary,telecommuting,has_company_logo,has_questions,has_email,has_phone,has_url,has_fraud_bigram,has_legit_bigram
0,Full-time,Not Applicable,Unspecified,39,99,20,14,-2.169675367,-2.898919407,1,0,0,0,1,0,1,1,1,0,1
0,Full-time,Entry level,High School or equivalent,88,149,289,0,-7.612026365,-2.216166691,1,0,0,0,1,0,0,0,0,1,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Entry level,Bachelor's Degree,190,219,81,116,-9.996358046,-3.550086188,0,0,0,0,1,1,0,0,0,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,201,301,118,9,-2.856609018,-3.780290306,1,0,1,0,1,0,0,0,0,1,1
0,Contract,Unspecified,Unspecified,212,107,1,0,-2.823138472,-2.898919407,1,0,0,1,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,163,677,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,1,0,0
0,Part-time,Unspecified,Unspecified,69,223,59,0,-2.823138472,-2.898919407,1,0,0,1,0,0,0,0,0,0,1
0,Full-time,Associate,Bachelor's Degree,160,240,75,58,-2.970474687,-3.550086188,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,0,328,87,5,-3.056588271,-3.981639589,1,0,1,0,0,0,0,0,0,0,0
0,Full-time,Associate,Bachelor's Degree,0,279,104,6,-6.20358694,-3.981639589,1,0,1,0,0,1,0,0,1,0,1
0,Full-time,Mid-Senior level,Master's Degree,136,234,82,16,-3.028126795,-3.780290306,0,0,0,0,1,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,181,224,0,-3.972869919,-2.898919407,0,0,0,0,0,0,0,0,0,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Mid-Senior level,Unspecified,0,206,90,0,-3.056588271,-3.981639589,0,0,1,0,0,0,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,75,248,70,51,-9.996358046,-3.549243538,0,0,0,0,1,1,0,0,1,0,1
0,Contract,Entry level,High School or equivalent,91,149,60,5,-1.843491945,-7.917538129,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Mid-Senior level,Unspecified,60,153,0,0,-5.60491141,-3.981639589,1,0,1,0,1,0,0,0,1,0,1
0,Full-time,Associate,Bachelor's Degree,20,186,46,54,-6.20358694,-2.853301252,0,0,0,0,1,0,0,0,0,0,1
0,Full-time,Not Applicable,Unspecified,0,130,148,7,-2.856609018,-3.549243538,0,0,0,0,1,1,0,0,1,0,0
0,Unspecified,Unspecified,Master's Degree,168,280,52,0,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Unspecified,Unspecified,Unspecified,59,321,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,75,121,40,29,-7.492904484,-4.403047312,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,232,125,71,0,-3.972869919,-2.391780105,0,0,0,0,1,0,0,0,0,0,1
0,Full-time,Entry level,Bachelor's Degree,0,24,20,4,-2.015685175,-7.772064107,0,0,1,0,1,0,0,0,0,0,1
0,Other,Internship,Some college coursework,95,101,53,12,-3.437567297,-4.835137309,1,0,0,0,1,1,0,0,0,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Unspecified,Unspecified,Unspecified,69,55,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,0
0,Temporary,Internship,Master's Degree,136,178,84,228,-3.028126795,-3.780290306,0,0,0,0,1,1,0,0,0,1,0
0,Unspecified,Unspecified,Unspecified,36,18,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,68,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,0
0,Part-time,Internship,Unspecified,111,251,0,0,-2.823138472,-3.981639589,1,0,0,0,1,0,0,0,1,1,1
0,Part-time,Associate,Unspecified,0,390,886,20,-1.843491945,-3.943048543,1,0,0,0,0,0,0,0,0,1,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Part-time,Entry level,High School or equivalent,88,170,91,0,-3.056588271,-2.853301252,0,0,0,0,1,0,0,0,0,1,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Entry level,High School or equivalent,88,169,91,0,-7.612026365,-1.458699604,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Entry level,High School or equivalent,88,379,147,0,-3.815002963,-3.943048543,1,0,0,0,1,0,0,0,0,1,1
0,Full-time,Associate,Unspecified,90,227,72,30,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Associate,Bachelor's Degree,68,168,150,55,-2.155633135,-3.549243538,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Entry level,Bachelor's Degree,88,410,0,0,-1.674331188,-4.403047312,1,0,0,0,1,0,0,1,1,0,1
0,Full-time,Entry level,Bachelor's Degree,83,157,138,0,-3.769772449,-7.789313116,0,0,1,0,1,0,0,0,1,0,1
0,Unspecified,Unspecified,Unspecified,14,183,57,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0
0,Full-time,Not Applicable,High School or equivalent,136,104,12,2,-2.834459249,-1.458699604,0,0,0,0,1,1,0,0,0,0,1
0,Contract,Unspecified,Unspecified,0,309,34,0,-2.823138472,-2.898919407,1,0,0,0,0,0,1,1,1,0,0
0,Full-time,Not Applicable,Unspecified,0,91,6,6,-2.498791322,-4.403047312,1,0,0,0,0,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,209,204,82,53,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,1,1
0,Full-time,Entry level,Bachelor's Degree,77,71,30,11,-9.996358046,-2.391780105,1,0,0,0,1,1,0,0,1,0,0
0,Part-time,Entry level,High School or equivalent,88,131,91,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Associate,Bachelor's Degree,55,161,89,20,-3.972869919,-4.403047312,1,0,1,0,1,1,0,0,1,0,1
0,Part-time,Unspecified,Unspecified,108,191,141,0,-4.209827054,-2.391780105,0,0,0,0,1,0,0,0,1,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Unspecified,Unspecified,34,392,183,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Part-time,Entry level,High School or equivalent,88,121,101,0,-4.095068015,-2.853301252,1,0,0,0,1,0,0,0,0,1,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,176,203,53,26,-9.996358046,-3.549243538,0,0,0,0,1,1,0,0,0,0,0
0,Full-time,Not Applicable,Unspecified,0,339,152,0,-3.056588271,-2.351014509,1,0,0,0,0,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Unspecified,317,177,0,0,-3.972869919,-2.898919407,0,0,0,0,1,0,0,0,0,0,1
0,Full-time,Mid-Senior level,Unspecified,85,88,21,31,-2.823138472,-2.391780105,1,0,0,0,1,0,0,0,1,0,1
0,Full-time,Not Applicable,Bachelor's Degree,95,153,134,104,-4.095068015,-2.351014509,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,0,114,82,68,-3.056588271,-2.898919407,1,0,0,0,0,0,0,0,0,0,1
0,Full-time,Not Applicable,High School or equivalent,163,102,33,0,-2.970474687,-3.549243538,1,0,0,0,1,1,0,0,0,0,0
0,Full-time,Not Applicable,Unspecified,175,72,64,24,-3.934917469,-3.549243538,1,0,1,0,1,0,0,0,0,0,1
0,Full-time,Associate,Unspecified,122,300,101,49,-3.769772449,-3.943048543,1,0,0,0,1,1,0,0,1,0,1
0,Full-time,Associate,Bachelor's Degree,160,140,193,53,-2.970474687,-3.080366137,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Entry level,High School or equivalent,88,240,91,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Associate,Bachelor's Degree,113,438,112,20,-3.056588271,-3.780290306,0,0,0,0,1,0,0,0,0,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Entry level,Unspecified,0,50,101,27,-2.856609018,-4.403047312,0,0,0,0,0,1,0,0,0,0,0
0,Contract,Unspecified,Unspecified,0,86,143,0,-2.823138472,-3.981639589,1,0,0,0,0,0,0,0,0,0,0
0,Full-time,Entry level,Bachelor's Degree,91,165,86,11,-5.60491141,-3.981639589,0,0,0,0,1,1,0,0,0,0,1
0,Part-time,Entry level,Unspecified,91,150,55,11,-5.60491141,-2.898919407,0,0,0,0,1,1,0,0,0,1,0
0,Full-time,Not Applicable,Unspecified,116,260,112,40,-5.60491141,-2.391780105,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Unspecified,119,102,31,15,-6.958428728,-3.549243538,0,0,1,0,1,1,0,0,1,0,0
0,Full-time,Unspecified,Unspecified,168,92,52,29,-2.823138472,-2.391780105,0,0,1,0,1,1,0,0,0,0,0
0,Full-time,Mid-Senior level,Unspecified,36,113,62,2,-2.498791322,-2.851360103,1,0,1,0,1,1,0,0,0,0,0
0,Full-time,Entry level,Some college coursework,118,148,44,0,-9.996358046,-2.834705855,0,0,0,0,1,1,0,0,1,0,0
0,Full-time,Unspecified,Bachelor's Degree,130,304,0,45,-2.823138472,-2.851360103,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Associate,Unspecified,153,293,41,83,-3.056588271,-3.943048543,1,0,0,0,1,1,1,1,0,0,1
0,Full-time,Unspecified,Unspecified,34,148,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Full-time,Unspecified,Bachelor's Degree,0,212,0,0,-7.104269424,-4.282798225,1,0,0,0,1,0,0,0,1,1,1
0,Full-time,Mid-Senior level,Bachelor's Degree,102,373,51,199,-5.60491141,-4.708274573,0,0,0,0,1,1,0,0,0,1,1
0,Full-time,Entry level,Unspecified,92,183,95,5,-5.60491141,-7.745619564,1,0,1,0,1,1,0,0,0,0,1
0,Full-time,Executive,Unspecified,0,119,151,26,-3.934917469,-3.943048543,1,0,1,0,0,1,0,0,0,0,1
0,Full-time,Unspecified,Professional,0,89,0,1,-3.972869919,-3.981639589,0,0,0,0,0,0,0,0,0,0,0
0,Contract,Unspecified,Unspecified,0,37,129,0,-2.823138472,-3.981639589,1,0,0,0,0,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,178,0,59,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,1,1
0,Contract,Mid-Senior level,Bachelor's Degree,0,85,218,0,-2.823138472,-3.981639589,1,0,0,0,0,1,0,0,0,0,1
0,Full-time,Not Applicable,Unspecified,0,229,151,17,-3.134094473,-3.549243538,0,0,1,0,0,1,0,0,1,0,0
0,Full-time,Mid-Senior level,Master's Degree,68,117,208,31,-7.370729443,-2.216166691,1,0,1,0,1,1,0,0,1,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,0,82,0,0,-2.856609018,-2.834705855,1,0,1,0,0,0,0,0,0,0,0
0,Full-time,Associate,Bachelor's Degree,119,217,52,18,-9.996358046,-4.708274573,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Entry level,Bachelor's Degree,249,282,128,47,-0.977660261,-2.853301252,0,0,0,0,1,1,0,1,0,0,1
0,Unspecified,Unspecified,Unspecified,163,677,0,26,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,1,0,1
0,Full-time,Entry level,Unspecified,69,193,69,26,-7.16991887,-4.403047312,0,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,173,196,97,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,1,0,1
0,Full-time,Associate,Bachelor's Degree,133,396,39,0,-2.633916062,-7.772064107,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,0,205,205,5,-0.590358018,-1.84570792,1,0,1,0,0,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,130,0,0,-2.823138472,-2.898919407,1,0,0,0,0,1,0,0,0,0,0
0,Full-time,Entry level,Bachelor's Degree,114,39,53,49,-3.972869919,-4.835137309,0,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,34,120,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0
0,Full-time,Not Applicable,Unspecified,0,79,290,0,-2.498791322,-7.772064107,0,0,1,0,0,0,0,0,0,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Other,Not Applicable,Certification,0,224,7,0,-2.498791322,-2.351014509,0,0,1,0,0,0,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,34,138,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Full-time,Mid-Senior level,Unspecified,402,194,165,41,-2.498791322,-4.403047312,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Entry level,Unspecified,153,244,61,83,-3.056588271,-2.853301252,1,0,0,0,1,0,1,1,0,1,1
0,Part-time,Internship,Unspecified,130,163,86,0,-2.823138472,-4.403047312,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Associate,Bachelor's Degree,87,122,87,125,-5.60491141,-3.981639589,0,0,0,0,1,0,1,0,1,0,0
0,Contract,Unspecified,Unspecified,143,155,193,21,-3.972869919,-3.981639589,1,0,0,0,1,1,0,0,0,1,1
0,Full-time,Associate,Bachelor's Degree,198,336,252,44,-3.972869919,-7.772064107,0,0,1,0,1,0,0,0,1,0,1
0,Unspecified,Unspecified,Unspecified,0,238,216,17,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,1,1
0,Full-time,Associate,Unspecified,153,344,50,90,-3.056588271,-2.853301252,1,0,0,0,1,1,1,1,0,0,1
0,Full-time,Entry level,Bachelor's Degree,81,63,134,0,-2.498791322,-7.917538129,0,0,0,0,1,0,1,0,0,0,1
0,Full-time,Entry level,High School or equivalent,88,178,91,0,-2.169675367,-1.458699604,1,0,0,0,1,0,0,0,0,1,0
0,Unspecified,Unspecified,Unspecified,0,138,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,1,0,0,0,0
0,Full-time,Mid-Senior level,Master's Degree,215,121,53,0,-3.291500398,-4.382942415,1,0,0,0,1,1,1,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,124,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,1,0,0,0,0
0,Full-time,Unspecified,High School or equivalent,111,134,93,8,-2.823138472,-2.898919407,1,0,0,0,0,1,0,0,0,0,0
0,Full-time,Unspecified,Unspecified,34,273,0,0,-2.834459249,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Full-time,Entry level,Unspecified,99,193,71,21,-2.856609018,-3.981639589,0,0,0,0,1,1,0,0,0,0,0
0,Full-time,Mid-Senior level,Master's Degree,108,90,59,109,-4.209827054,-2.391780105,0,0,0,0,1,1,0,0,1,0,1
0,Full-time,Entry level,High School or equivalent,88,129,30,0,-2.633916062,-1.458699604,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Internship,Unspecified,73,157,78,186,-3.972869919,-2.898919407,0,0,0,0,1,0,0,0,1,0,1
0,Full-time,Associate,Unspecified,99,165,116,0,-2.633916062,-3.549243538,1,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,151,63,414,96,-2.823138472,-2.898919407,1,0,0,1,1,1,1,1,1,0,0
0,Unspecified,Unspecified,Unspecified,151,65,414,76,-2.823138472,-2.898919407,1,0,0,1,1,1,1,1,1,0,0
0,Unspecified,Unspecified,Unspecified,106,235,25,148,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,0
0,Full-time,Mid-Senior level,High School or equivalent,208,108,251,46,-2.856609018,-3.549243538,1,0,0,0,1,1,0,0,0,0,0
0,Other,Unspecified,Unspecified,108,37,36,66,-4.209827054,-7.917538129,0,0,0,0,1,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,220,9,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,0
0,Full-time,Associate,Bachelor's Degree,0,302,105,75,-3.056588271,-3.943048543,1,0,0,0,0,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Unspecified,0,67,65,7,-0.977660261,-3.981639589,0,0,0,0,0,1,0,0,1,0,0
0,Part-time,Unspecified,Unspecified,0,68,136,5,-0.590358018,-2.898919407,0,0,0,0,0,0,0,0,0,1,0
0,Unspecified,Unspecified,Unspecified,0,76,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,1,0,0
0,Full-time,Mid-Senior level,Unspecified,0,684,298,47,-3.972869919,-3.981639589,1,0,0,0,0,0,0,0,1,0,1
0,Full-time,Mid-Senior level,High School or equivalent,88,310,174,0,-3.056588271,-3.943048543,1,0,0,0,1,0,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,140,80,44,22,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,292,417,0,0,-2.498791322,-3.981639589,0,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,85,34,100,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,0,328,72,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,1
0,Full-time,Not Applicable,High School or equivalent,74,116,49,68,-2.816247479,-2.216166691,1,0,1,0,1,0,0,0,0,0,0
0,Full-time,Mid-Senior level,Unspecified,0,275,145,113,-3.437567297,-3.981639589,1,0,0,0,0,1,0,0,1,0,0
0,Full-time,Entry level,Unspecified,88,63,25,115,-2.633916062,-3.549243538,1,0,1,0,1,0,0,0,1,0,0
0,Full-time,Entry level,Bachelor's Degree,168,171,25,7,-5.60491141,-3.549243538,1,0,1,0,1,1,0,0,0,0,1
0,Full-time,Entry level,High School or equivalent,46,62,63,79,-9.996358046,-3.549243538,0,0,1,0,1,1,0,0,0,0,0
0,Full-time,Entry level,Unspecified,99,177,127,22,-2.856609018,-2.391780105,0,0,0,0,1,1,0,0,0,0,0
0,Unspecified,Unspecified,Unspecified,111,291,44,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,1
0,Full-time,Entry level,Unspecified,153,218,57,83,-3.056588271,-2.853301252,1,0,0,0,1,1,1,1,0,0,1
0,Full-time,Unspecified,Unspecified,91,26,229,0,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Entry level,Unspecified,109,147,117,130,-6.958428728,-6.689872209,0,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,0,267,10,11,-2.823138472,-2.898919407,0,0,0,0,0,1,0,0,0,1,1
0,Full-time,Entry level,High School or equivalent,88,245,88,0,-3.815002963,-2.853301252,0,0,0,0,1,0,0,0,0,1,1
0,Full-time,Mid-Senior level,Bachelor's Degree,53,137,265,21,-9.996358046,-4.403047312,1,0,1,1,1,0,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,201,228,25,5,-2.856609018,-4.403047312,1,0,1,0,1,0,0,0,0,0,1
0,Full-time,Director,Bachelor's Degree,168,474,86,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,18,430,0,0,-5.60491141,-3.981639589,0,0,1,0,1,1,0,0,1,0,1
0,Unspecified,Unspecified,Unspecified,0,18,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,1
0,Part-time,Not Applicable,High School or equivalent,0,40,38,0,-7.317348974,-2.898919407,1,0,0,0,0,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,154,152,19,19,-0.590358018,-1.84570792,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Associate,Bachelor's Degree,81,22,89,0,-3.972869919,-3.981639589,0,0,0,0,1,0,1,0,0,0,0
0,Unspecified,Unspecified,Unspecified,0,1065,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,1,1
0,Unspecified,Unspecified,Unspecified,111,203,16,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0
0,Full-time,Associate,Bachelor's Degree,113,214,54,16,-3.056588271,-2.351014509,0,0,1,0,1,1,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,91,77,46,11,-5.60491141,-4.403047312,0,0,0,0,1,1,0,0,0,0,0
